Probe	GeneID	MOCK_1	MOCK_2	MOCK_3	TATCRE.1	TATCRE_2	TATCRE_3
reLv7cl6NIxehM4Ojo	MFAP1B	10.8014064633922	10.9232057572533	10.8911316013727	10.9154694641104	10.7707457470682	10.6722086998528
xltnogDN9PCOjsrTr4	BC100530	7.57273418762839	7.57014410315056	7.64408155043741	7.59302417893711	7.43974036259121	7.62138481972007
EIT0K67OX8FVkeiISI	GM9887	7.73581578797581	7.81627167770512	7.77598630965234	8.11940252509173	7.85013176722572	8.13999400520131
HAIaFKRUo7xU4r55Yk	GM9983	8.72006752853884	8.66668138489021	8.88595838844962	9.09868599526144	9.12822842981333	9.10321155898575
lv4lJ_vxMuL1uUqXUU	DNAJC3	9.28291504318657	9.57481058425811	9.36774525784689	9.67415118266658	9.66948239197977	9.62956026602269
r2HQq7QR0tVJ5417_o	GM10610	7.6428557902116	7.51149900924266	7.59146017259305	7.54043053338195	7.42887875251753	7.52618090868693
lnX2Xn55uIeLB5yNfo	ARIH2OS	11.5500927141196	11.8642119355436	12.0384664776173	12.7011732650357	12.8442302912905	12.9345670857943
oOKU5NT4nWofeE5f7k	GM10304	7.62161263379484	7.54629686970127	7.54420210113685	7.81048296941475	7.8183058274741	7.87681549451017
ivhYbb7gRckTJEKB98	GM10209	7.53805141180543	7.61588811217328	7.62231809757994	7.63302540177577	7.72689846755642	7.74537413033346
fq4P4XSS271.s34uek	GM1976	7.81708793416626	7.84114021794025	7.98023183510966	7.91474066414871	7.93928265826417	8.00966929035638
QfVVwt4GU4fVEjXgeI	GM10143	8.48662993237491	8.27845479747013	8.10855354041178	8.00693806650742	8.07039931638724	8.31415761258021
iIDOAD2CW_LMAdCW2c	BC117090	7.64017716208469	7.52731799056834	7.56604363660947	7.56755241148727	7.62544934017654	7.45602525454926
HUU.x_071F3PgvpO6I	OLFR55	7.45695906360412	7.50700939859992	7.46289503439297	7.62096224153516	7.61784122595345	7.58124655892488
0pOEBLEICVH6kSV4KU	GM2174	14.1338265776634	13.8564532609768	14.0491426674058	13.7554681768831	14.072063631459	14.016334494311
HlYjgGi9x8pCI7nzuw	GM10029	15.1594140314531	14.8195227878683	15.1995757304447	15.7463965410965	15.7282995219137	15.7630725508645
B_oEueOa5edS42XSCQ	GM12166	10.0779494209711	10.3759688415162	9.85027377375233	10.3405353007337	10.3830280947471	10.3255023230919
HTfS_3eOSfMYIw__94	GM10075	12.7559146834152	11.6132078214933	12.3055812467364	12.1347998579974	11.9199273201587	12.4921000348693
cIIh6LgAiQppwoFI0k	MNDAL	9.36686201814874	9.35120232157128	8.98788812524645	9.37666506879289	9.41746886142062	9.50714940813049
caUkop44KJ_CI1kBug	GM10145	10.1460491408572	9.8619151167325	10.4499715769109	10.4940568618944	10.3756569089912	10.0710242065936
xXYd.Zw6Qn_qZIe4q4	AHNAK2	7.60072877809352	7.75048292131106	7.65571078921217	7.88546848052915	7.83708152529186	7.74710361536942
QSerdQukmLSwfwlK7M	SUPT4B	11.1455775803677	11.8421574644588	11.3579415170486	12.1208630006368	12.1762113042825	12.1014271703382
